127.0.0.1 - - [19/Aug/2022:12:59:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/trip.jsp HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/resource/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/resource/css/trip.css HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/img/%EC%84%B1%EC%82%B0%EC%9D%BC%EC%B6%9C%EB%B4%89.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/img/%EC%95%84%EB%A5%B4%EB%96%BC%EB%AE%A4%EC%A7%80%EC%97%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/img/%EC%B2%9C%EC%A7%80%EC%97%B0%ED%8F%AD%ED%8F%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/img/%EB%B9%84%EC%9E%90%EB%A6%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/img/%ED%95%9C%EB%9D%BC%EC%88%98%EB%AA%A9%EC%9B%90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/img/%ED%99%A9%EC%9A%B0%EC%A7%80%EC%84%A0%EB%85%80%ED%83%95.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:50 +0900] "GET /popo/sub/img/%EC%A3%BC%EC%83%81%EC%A0%88%EB%A6%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:12:59:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:32 +0900] "GET /popo/main/main.jsp HTTP/1.1" 200 9275
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:32 +0900] "GET /popo/main/img/having_idea.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:32 +0900] "GET /popo/main/movie.ogg HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:32 +0900] "GET /popo/main/img/main_poster.mp4 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:37 +0900] "GET /popo/sub/happle.jsp HTTP/1.1" 200 6135
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:37 +0900] "GET /popo/resource/css/happle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:37 +0900] "GET /popo/sub/img/h44.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:37 +0900] "GET /popo/sub/img/h55.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:44 +0900] "GET /popo/sub/trip.jsp HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:51 +0900] "GET /popo/sub/trip_jeju.jsp HTTP/1.1" 200 5522
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:51 +0900] "GET /popo/sub/img/%EB%B9%84%EC%9E%90%EB%A6%BC2.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:53 +0900] "GET /popo/sub/trip_Seogwipo.jsp HTTP/1.1" 200 5908
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:55 +0900] "GET /popo/sub/trip.jsp HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:56 +0900] "GET /popo/sub/trip_jeju.jsp HTTP/1.1" 200 5522
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:56 +0900] "GET /popo/sub/img/%EB%B9%84%EC%9E%90%EB%A6%BC2.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:58 +0900] "GET /popo/sub/trip_detail2.jsp HTTP/1.1" 200 6288
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:58 +0900] "GET /popo/resource/css/trip_detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:58 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:58 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%902.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:58 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%903.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:12:58 +0900] "GET /popo/sub/trip_img/%EC%88%98%EB%AA%A9%EC%9B%904.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:05 +0900] "GET /popo/sub/trip.jsp HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:06 +0900] "GET /popo/sub/tour.jsp HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:06 +0900] "GET /popo/resource/css/tour.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:06 +0900] "GET /popo/sub/img/night_sky2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:06 +0900] "GET /popo/sub/img/happleWhite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:13:13:06 +0900] "GET /popo/sub/movie.ogg HTTP/1.1" 404 833
